@relation dataset_scaled

@attribute finished_first_q1 numeric
@attribute finished_first_q2 numeric
@attribute dif_seconds_quali_first_second numeric
@attribute dif_seconds_quali_second_third numeric
@attribute dif_seconds_quali_third_fourth numeric
@attribute dif_seconds_qualif_fourth_fifth numeric
@attribute isAmericas numeric
@attribute isAustralia numeric
@attribute isEurope numeric
@attribute is_reigning_constructor_champion numeric
@attribute is_reigning_driver_champion numeric
@attribute driverAge numeric
@attribute hadRain numeric
@attribute avg_temp numeric
@attribute avg_humidity numeric
@attribute avg_pressure numeric
@attribute avg_wind_speed numeric
@attribute finishedFirst {n,y}

@data
-0.880771,-0.930721,-0.693067,0.718043,0.378617,-0.685724,0,0,0,-0.741798,-0.741798,0.398445,-0.453609,0.484641,0.518615,0.071937,-0.113477,y
-0.880771,-0.930721,0.541531,0.693925,-0.276387,0.268605,0,0,0,-0.741798,-0.741798,0.407949,-0.453609,0.65589,-0.013252,0.20057,0.47851,y
1.135369,1.074436,0.471336,0.835187,0.719396,0.938059,0,0,0,1.348076,1.348076,0.600072,-0.453609,-0.335852,-0.909865,0.817352,-0.440958,n
-0.880771,1.074436,-0.697196,0.711152,0.161757,1.930371,0,0,0,1.348076,1.348076,0.609576,-0.453609,-0.098737,-1.225758,0.276431,-0.356989,n
-0.880771,-0.930721,1.111345,-0.622218,0.347637,-0.728455,0,0,0,-0.741798,-0.741798,0.502992,-0.453609,-0.411126,-1.212936,0.038954,0.180417,y
1.135369,1.074436,1.900001,0.611235,-0.302942,0.71016,0,0,0,-0.741798,-0.741798,0.512497,-0.453609,-1.417923,0.887783,0.919599,-0.356989,y
-0.880771,1.074436,0.141009,0.566445,0.936255,-0.842404,0,0,0,1.348076,1.348076,0.638089,-0.453609,-0.27375,0.15829,0.536997,0.142631,n
-0.880771,-0.930721,-0.31732,-0.29146,1.834673,-0.139715,0,0,0,-0.741798,-0.741798,-0.463054,2.204541,-1.052841,1.862651,-1.211101,0.083852,n
-0.880771,1.074436,-0.759132,-0.412049,-0.086082,0.21163,0,0,0,1.348076,1.348076,0.657098,-0.453609,-2.377673,0.227481,-1.883954,-0.310805,y
1.135369,1.074436,2.110584,0.742161,-0.865006,0.472765,0,0,0,-0.741798,-0.741798,0.545762,-0.453609,1.38229,-0.663164,0.20057,0.726221,y
-0.880771,1.074436,1.226959,2.013514,1.330143,-0.400849,0,0,0,1.348076,1.348076,0.671355,-0.453609,-1.585409,0.762111,1.345079,-1.650122,y
-0.880771,1.074436,0.302044,1.624183,0.484833,0.282849,0,0,0,1.348076,1.348076,0.676107,2.204541,-0.685878,1.030807,-1.62009,1.125077,y
1.135369,-0.930721,-0.424676,-0.219106,0.360914,0.539235,0,0,0,-0.741798,-0.741798,0.569522,-0.453609,1.207276,-0.374793,0.444644,-0.965769,n
-0.880771,-0.930721,-0.573323,0.070307,-0.38703,0.496504,0,0,0,-0.741798,-0.741798,0.574275,-0.453609,0.11015,-0.447632,-0.310666,-0.092484,n
-0.880771,1.074436,-0.399901,-0.753144,0.011283,-0.453076,0,0,0,-0.741798,-0.741798,0.593283,-0.453609,0.351029,-0.136381,-0.086382,0.83958,y
1.135369,1.074436,0.958569,0.425184,-0.453415,0.567723,0,0,0,1.348076,1.348076,0.714124,-0.453609,0.853486,-0.26769,0.263238,-1.238671,n
-0.880771,1.074436,1.17741,-0.215661,-0.687978,0.040706,0,0,0,-0.741798,-0.741798,0.60754,-0.453609,1.530957,0.698667,-1.29026,-1.18409,y
1.135369,1.074436,0.694307,-0.274233,-0.656998,-0.410345,0,0,0,1.348076,1.348076,0.733133,-0.453609,2.044705,-0.053042,-1.273769,0.180417,n
-0.880771,1.074436,-0.961458,0.184006,-0.515375,-0.253664,0,0,0,-0.741798,-0.741798,0.621796,2.204541,-0.405481,0.181832,-0.614109,0.268586,y
1.135369,-0.930721,-0.123253,0.201233,0.188311,0.857345,0,0,0,1.348076,1.348076,0.747389,-0.453609,0.87795,-0.937497,1.15048,0.70103,y
1.135369,-0.930721,0.033653,-0.480957,-0.515375,-0.030513,0,0,0,1.348076,1.348076,0.752141,-0.453609,-0.74798,-0.499802,1.559469,-0.617295,y
1.135369,1.074436,-0.593969,1.138382,-0.506524,-0.918371,0,0,0,1.348076,1.348076,0.761646,-0.453609,-0.979449,2.187164,0.246746,-0.142866,y
